SampleID,Eas_X,Nor_Y,0-5_NO3_mg_kg,0-5_LOI_g_kg,0-5_Soil_pH_(1:2),5-10_NO3_mg_kg,5-10_LOI_g_kg,5-10_Soil_pH_(1:2),10-20_NO3_mg_kg,10-20_LOI_g_kg,10-20_Soil_pH_(1:2),20-40_NO3_mg_kg,20-40_LOI_g_kg,20-40_Soil_pH_(1:2),40-60_NO3_mg_kg,40-60_LOI_g_kg,40-60_Soil_pH_(1:2),60-90_NO3_mg_kg,60-90_LOI_g_kg,60-90_Soil_pH_(1:2),Soil_Series,Soil_Drainage_Type
P4-47,269823.3127,3700598.167,11.58193433,120.8392829,4.541,9.276274201,56.95308302,5.5135,6.827332806,57.45301035,6.211,5.46699239,73.64300074,6.715,1.547594901,83.45134534,6.966,1.567934694,83.71771218,6.778,Cecil,WD
P4-48,269830.1979,3700576.626,12.31309193,98.47360272,4.963,8.579082835,64.85598855,6.6485,13.8673412,37.69076641,6.4215,8.804597941,28.4200876,6.743,2.335220502,55.13986417,7.081,0.314022509,67.7572676,7.193,Cecil,WD
P4-49,269841.0696,3700600.093,12.78459507,54.21297848,4.5045,12.20603975,34.80937376,5.3415,14.66740547,28.93788425,5.6875,8.277011677,31.00031959,6.208,3.648819306,50.57351408,6.548,1.459068309,65.42153589,6.678,Cecil,WD
P4-50,269847.9547,3700578.552,13.99003439,91.77686231,5.0015,13.60123801,51.07132665,5.5155,10.20662082,40.00205382,6.199,3.381856354,53.55202055,6.617,2.70631646,73.87889033,6.772,1.784579881,96.14225437,6.82,Cecil,WD
P4-51,269850.3948,3700556.058,12.36835749,78.24586215,5.1675,14.83486504,53.15150864,5.499,10.47659196,46.68938813,6.2585,,,,,,,2.911812753,103.3158813,6.776,Cecil,WD
P4-52,269858.8675,3700537.057,19.21896756,179.8738053,4.464,13.99344735,66.23342361,5.5045,10.8272627,53.99378639,6.3045,9.937816622,94.20368955,6.724,4.5570697,98.20409011,6.897,4.019845321,99.03791737,6.678,Cecil,WD
P4-53,269858.8264,3700602.019,13.67936034,137.3721192,4.824,15.74936016,66.11332166,5.366,17.88393359,79.48235752,5.69,7.344537982,93.45206915,6.271,3.537028071,92.5080708,6.47,3.609605407,94.18937415,6.011,Cecil,WD
P4-54,269865.7115,3700580.478,12.89769972,126.1367678,4.836,15.18044622,74.35053605,5.521,16.98886037,75.45125349,6.0845,12.82158288,93.11988268,6.428,2.913861507,97.09066306,6.848,0.177786111,87.33521657,6.986,Cecil,WD
P4-55,269868.1516,3700557.985,12.63147068,102.1923918,4.7805,12.57303398,54.09818747,5.539,12.49370089,68.47795605,5.815,11.78849026,97.62158325,6.345,8.559064616,100.4591168,6.715,6.213810916,102.7291452,6.936,Cecil,WD
P4-56,269876.6243,3700538.984,14.55378143,67.29691888,4.5825,13.04478923,41.18950461,5.167,14.81225596,28.84207516,5.9815,2.604197889,49.55192409,6.685,0.417979038,65.15971559,6.678,0.877658575,67.40586233,7.002,Cecil,WD
P4-57,269876.5832,3700603.946,11.35978416,113.5643406,5.038,2.711764584,60.60914626,6.1765,3.034017235,80.70153715,6.6525,1.949152503,88.0539499,6.609,2.349677345,95.1503283,6.654,4.884639892,97.82030835,6.469,Cecil,WD
P4-58,269883.4683,3700582.405,11.78477033,149.3445233,5.207,6.811912486,77.24162121,6.2195,8.967315445,80.10497516,6.439,3.086850153,88.42344201,6.714,2.167930378,94.46325216,6.882,1.024238365,103.6499513,6.943,Cecil,WD
P4-59,269885.9085,3700559.911,11.45561325,98.60798047,5.097,12.17526773,55.82154625,5.9595,4.952898557,54.18686294,6.529,2.577086366,97.76654024,6.867,1.572287327,102.5061627,7.046,0.288649117,104.7289761,7.142,Cecil,WD
P4-60,269894.3811,3700540.91,11.88692106,83.50197045,5.188,13.0719556,47.07515767,5.8385,5.9859265,36.75025892,6.492,3.015654288,90.43497559,6.868,1.186438063,91.78638009,7.011,0.927684722,91.73098126,7.02,Cecil,WD
P4-61,269894.34,3700605.872,12.14954738,52.60748312,5.086,4.581668276,32.10607507,5.956,4.630372255,39.86562157,6.307,4.367549159,48.39365596,6.583,2.77875024,42.50652742,6.742,2.847358953,50.07743934,6.881,Helena,MWD
P4-62,269901.2252,3700584.331,12.92521747,109.6352215,5.293,6.118481035,79.33973517,5.845,2.86920747,71.20598481,6.384,1.292820914,70.93184979,7.021,0.273917565,66.13653995,7.033,0.069538425,81.30081301,7.055,Helena,MWD
P4-63,269903.6653,3700561.837,11.97499906,104.9174035,5.1515,14.48765829,65.5718758,5.7265,11.47984095,57.86250683,6.218,9.594981038,54.53479281,6.468,,59.77843589,,3.334430283,76.62220439,6.821,Cecil,WD
P4-64,269912.1379,3700542.836,11.93096006,,,13.77980694,,,8.732883727,,,6.305317663,,6.01,1.186438063,,5.794,2.131057503,,,Helena,MWD
P5-65,269889.3939,3700466.624,18.45326336,63.62184077,4.812,19.93287928,38.65503471,5.4215,11.72445216,25.80052256,5.9535,2.186425008,68.99435501,6.618,1.415602996,84.94252874,6.862,0.459716864,79.22338764,6.701,Cecil,WD
P5-66,269909.1952,3700467.988,20.99276405,99.91177458,5.35,21.84506217,58.57864579,6.0085,5.705651539,70.31247409,6.9205,1.888246723,103.913915,7.235,0.813224929,107.0829841,7.236,0.688290847,104.6305007,6.978,Cecil,WD
P5-67,269933.591,3700473.551,21.67896636,61.95713432,5.009,21.31334428,44.38050516,5.4285,20.17399687,30.22489956,6.2155,1.502598656,79.17570499,7.166,0.435514975,102.5532366,6.846,,,,Iredell,MWD
P5-68,269955.2351,3700481.654,20.04814471,76.44228288,5.34,15.48214649,48.82821649,5.99,7.981725434,47.33218891,6.8205,,,,4.817744778,51.10523333,6.739,2.457080299,97.27937814,7.123,Helena,MWD
P5-69,269882.8424,3700484.123,19.06653341,63.42140998,4.9655,20.15457029,40.33628744,5.3225,16.60258039,30.45793253,6.06,7.957138748,51.89886375,6.684,7.102924784,81.45883381,6.872,2.554785599,88.76811594,7.22,Cecil,WD
P5-70,269902.6437,3700485.488,17.94512677,92.3215248,4.8305,20.55352304,52.6523702,5.326,13.55045862,37.14596779,5.931,10.37293442,82.03693341,6.341,6.567953746,102.1521373,6.661,1.903668999,100.7276507,6.955,Cecil,WD
P5-71,269927.0395,3700491.051,19.41935139,60.64146134,5.0455,20.32182016,40.19570285,5.445,10.02658261,31.72910576,6.1035,9.253452931,38.03470541,6.348,3.956064959,67.12328767,6.652,2.749891767,91.83362148,6.939,Iredell,MWD
P5-72,269948.6836,3700499.154,17.88573033,63.31172969,5.0025,19.58832931,35.51113932,5.8105,8.086106377,35.69237188,6.0405,1.653301678,56.23836127,8.004,0.715551981,68.15596235,6.278,0.91218446,86.17255478,6.513,Iredell,MWD
P5-73,269874.1742,3700498.237,18.69904654,108.9359015,5.112,12.52504939,56.29561131,5.9875,11.22656494,60.9363594,6.349,10.72737945,80.82646398,6.709,4.146030352,76.21522139,6.991,1.673430922,82.51216906,7.034,Cecil,WD
