SampleID,FL,Eas_X,Nor_Y,0-5_LOI_g_kg,5-10_LOI_g_kg,10-20_LOI_g_kg,20-40_LOI_g_kg,40-60_LOI_g_kg,60-90_LOI_g_kg,Soil_Series,Soil_Drainage_Type
P6-83,BL,269990.2883,3700420,53.62084095,38.26577948,22.15379007,23.38284619,,58.43485443,Helena,MWD
P6-84,BL,270001.3375,3700440,73.13029057,49.45720838,29.09304258,32.52564942,40.72641307,58.72465595,Helena,MWD
P6-85,BL,269934.5741,3700410,98.13401951,43.9610842,25.28390801,,,37.99833887,Iredell,MWD
P6-86,BL,269956.673,3700420,78.53273058,47.05054743,29.95708513,,26.89233662,22.44312359,Iredell,MWD
P6-87,BL,269978.0739,3700430,58.3016188,40.31141102,27.30651639,24.49799197,57.56358768,27.61555974,Helena,MWD
P6-88,BL,269989.1231,3700460,91.24435715,56.07632096,62.82118511,,,61.50939435,Helena,MWD
P6-89,BL,270002.6149,3700470,74.80655742,44.84561233,27.5095757,,,,Helena,MWD
P6-90,BL,269922.3598,3700430,70.75913777,31.63078344,37.45741465,,,43.02670623,Iredell,MWD
P6-91,BL,269944.4586,3700440,108.3336069,52.02401231,50.53550704,73.33666833,61.8729097,40.74650078,Iredell,MWD
P6-92,BL,269965.8596,3700450,69.27158167,80.81595689,58.67756219,69.81852913,60.79724692,60.82508618,Helena,MWD
P6-93,BL,269976.9088,3700470,66.27216874,47.84058244,39.83072133,42.21723594,54.17033343,,Helena,MWD
P6-94,BL,269910.1455,3700450,93.84676381,62.69534748,48.71979307,102.9883156,91.98782962,72.68856448,Iredell,MWD
P6-95,BL,269932.2443,3700450,121.428266,65.71794082,44.47830745,48.42214175,55.34680613,43.22158971,Iredell,MWD
P6-96,BL,269953.6452,3700470,77.31791233,48.54713465,41.29395672,64.88355538,86.96911197,56.89155048,Helena,MWD
P7-97,Min,269725.769,3700479.515,71.94976866,56.09222984,55.48997944,66.44705126,86.23619371,99.56348101,Cecil,WD
P7-98,Min,269737.3328,3700457.349,116.10467,68.61977931,65.39858559,90.43874172,101.9298433,101.9511697,Cecil,WD
P7-99,Min,269744.9743,3700502.721,121.4461489,82.89110988,60.45990291,90.47551253,65.56141673,85.95408065,Cecil,WD
P7-100,Min,269753.6012,3700486.747,82.15217462,66.29549854,62.31001476,74.19945105,96.59033079,97.45272096,Cecil,WD
P7-101,Min,269762.1488,3700470.296,116.1760717,86.2009433,79.5211849,109.3512032,113.7130802,105.4838169,Cecil,WD
P7-102,Min,269763.8372,3700527.574,148.0043268,110.3020062,103.7001762,112.8730425,104.7529706,105.4676119,Cecil,WD
P7-103,Min,269775.401,3700505.408,92.58096059,68.77716842,66.79175859,78.67607162,93.19918299,98.78714934,Cecil,WD
P7-104,Min,269786.9648,3700483.242,125.3314823,77.06730181,73.20192247,83.19928508,101.0386206,104.8062866,Cecil,WD
P7-105,Min,269785.2135,3700546.341,102.1754081,80.07840033,79.92219582,102.1033717,110.5892778,106.673209,Cecil,WD
P7-106,Min,269796.7773,3700524.175,99.79588153,70.96657585,64.41295175,76.13099257,88.14066592,98.95150721,Cecil,WD
P7-107,Min,269808.3412,3700502.009,113.3673326,81.81968021,78.29111101,95.81355201,105.3525913,107.1582393,Cecil,WD
P7-108,Min,269803.2282,3700570.447,101.63913,66.34134459,84.85587578,89.77624159,89.3810032,89.2472014,Cecil,WD
P7-109,Min,269812.4108,3700552.937,101.0431998,68.57720401,75.91565102,101.498445,113.9138818,106.9755106,Cecil,WD
P7-110,Min,269821.7256,3700534.277,88.64911279,67.05686956,63.24375061,101.9325202,110.4990545,114.9570719,Cecil,WD
P7-111,Min,269831.6358,3700513.765,98.28729749,54.87621576,52.63207381,85.19140094,106.0853584,106.7602512,Cecil,WD
P8-112,Min,269753.8483,3700416.602,83.28428038,52.48488421,43.62230163,43.08390023,36.34521624,30.55096179,Cecil,WD
P8-113,Min,269779.2579,3700420.951,87.11761644,56.61637068,39.5264984,28.42859275,27.99113737,36.73742022,Cecil,WD
P8-114,Min,269804.6675,3700425.3,83.48263003,54.05169841,44.99340473,33.23586745,32.31719082,,Cecil,WD
P8-115,Min,269830.077,3700429.648,79.38800245,53.24670651,45.95539708,53.00420972,68.6064888,70.46186896,Cecil,WD
P8-116,Min,269855.4866,3700433.997,146.108481,79.37337076,98.10300153,73.73068433,64.87549148,92.41682486,Cecil,WD
P8-117,Min,269750.4959,3700436.191,143.347204,92.17342016,76.15998576,99.82139313,107.4430503,102.2236973,Cecil,WD
P8-118,Min,269775.9055,3700440.54,123.3111114,82.94938037,78.05807863,103.5933959,101.9839501,95.05180799,Cecil,WD
P8-119,Min,269801.3151,3700444.888,81.61945474,53.21034951,46.89874523,97.96813889,69.56815876,101.8106263,Cecil,WD
P8-120,Min,269826.7246,3700449.237,136.1108749,80.0638566,89.85264577,113.9218114,120.8673668,120.8988764,Cecil,WD
P8-121,Min,269852.1342,3700453.585,79.83012644,54.49469283,66.81111256,88.74500095,80.16730568,69.6001856,Cecil,WD
P8-122,Min,269772.5531,3700460.128,97.37098813,70.82975412,75.00018037,63.84822804,72.72540773,80.41490074,Cecil,WD
P8-123,Min,269797.9626,3700464.477,75.63354569,46.25625665,51.36846308,87.55083597,89.21660914,88.25254105,Cecil,WD
P8-124,Min,269823.3722,3700468.825,99.80224911,57.45707877,74.35497135,84.61060481,83.12833128,79.73979645,Cecil,WD
P8-125,Min,269848.7818,3700473.174,75.57239818,46.08281499,66.39162207,79.7821447,76.86895339,73.8286796,Cecil,WD
P8-126,Min,269796.2242,3700476.895,78.13735075,47.48804359,46.31679095,73.46098783,92.56329114,101.6014424,Cecil,WD
P8-127,Min,269820.0198,3700488.414,85.25499717,47.80260173,42.46912144,79.76608187,99.42290169,102.627548,Cecil,WD
P8-128,Min,269841.3283,3700493.887,99.95636234,42.72087445,29.86179038,78.86685552,99.13899139,,Cecil,WD
P9-129,Min,269822.137,3700308.321,60.69500994,29.30064646,21.01419878,30.3030303,43.26973204,33.97385103,Iredell,MWD
P9-130,Min,269819.7665,3700329.896,60.62866276,36.93881519,23.5877347,61.33126635,,,Iredell,MWD
P9-131,Min,269842.355,3700332.378,51.37807038,27.28615719,25.81571459,,37.06806283,85.06389776,Iredell,MWD
P9-132,Min,269864.9436,3700334.86,44.73133921,33.57623835,67.22770362,19.80292739,43.93284407,23.30256785,Iredell,MWD
P9-133,Min,269794.8074,3700348.99,53.08038708,28.63762743,27.49976616,83.32490646,80.85194376,84.43571724,Iredell,MWD
P9-134,Min,269817.396,3700351.472,,,,37.29170037,43.44073648,,Iredell,MWD
P9-135,Min,269839.9845,3700353.954,62.3839795,31.09046007,31.96067759,61.51067672,50.39123631,42.84430241,Iredell,MWD
P9-136,Min,269862.5731,3700356.436,52.44918985,26.68987525,21.03674774,23.443505,24.65277778,27.46807217,Iredell,MWD
P9-137,Min,269792.4369,3700370.566,90.96658579,49.29663997,28.00705848,78.36696387,100.3021148,98.73060649,Iredell,MWD
P9-138,Min,269815.0254,3700373.047,52.1066303,26.9945147,19.92215632,52.97317935,65.91710758,68.2005778,Iredell,MWD
P9-139,Min,269837.614,3700375.529,71.43697391,38.97438069,40.04372019,27.68297308,64.19568468,57.96943231,Iredell,MWD
P9-140,Min,269860.2025,3700378.011,50.49916805,35.4719907,23.62280031,24.08679208,35.85507791,34.45838487,Iredell,MWD
P9-141,Min,269773.9733,3700387.979,91.75215429,61.02577017,97.02529886,105.3272166,102.9297633,95.52412323,Iredell,MWD
P9-142,Min,269790.0663,3700392.141,73.36448598,34.83825098,,41.38760089,46.89951284,53.10996257,Iredell,MWD
P9-143,Min,269812.6549,3700394.623,71.6170595,38.77518382,24.82853286,46.61551908,72.96088104,64.29476351,Iredell,MWD
P9-144,Min,269835.2434,3700397.105,66.51378292,35.28618525,34.56559909,102.6217228,97.27782226,79.93329628,Iredell,MWD
P9-145,Min,269857.832,3700399.587,53.78381004,28.13631545,25.19506459,53.09025343,94.60983311,,Iredell,MWD
P10-146,Min,269765.1809,3700276.331,48.01950542,24.97101739,36.82673048,43.7687615,59.62489503,58.00176835,Iredell,MWD
P10-147,Min,269785.3397,3700287.75,57.31875321,34.64593628,28.72784672,49.54304954,38.7902207,40.55778345,Iredell,MWD
P10-148,Min,269806.0277,3700298.773,55.76187253,30.51871611,30.46044855,,34.43877551,20.24845936,Iredell,MWD
P10-149,Min,269754.5904,3700294.203,116.0582087,76.37179838,74.91365205,85.71968623,52.24414682,66.56394453,Prosperity,MWD
P10-150,Min,269774.0878,3700306.284,83.16782921,50.12742837,94.71689281,100.8572869,95.89156424,83.68766911,Prosperity,MWD
P10-151,Min,269793.5852,3700318.364,76.52451176,34.76946334,31.08373005,42.69719251,,33.57857008,Iredell,MWD
P10-152,Min,269741.2219,3700315.779,107.4071572,69.58755011,89.13304702,85.72008938,,52.9766588,Prosperity,MWD
P10-153,Min,269760.7192,3700327.86,95.04213788,63.88764068,61.49457732,36.66861713,25.32860021,,Prosperity,MWD
P10-154,Min,269780.2166,3700339.941,74.76117191,47.7189119,84.85355049,95.33024821,86.0149147,45.20661921,Prosperity,MWD
P10-155,Min,269727.8533,3700337.355,63.13607237,51.01379502,51.59665231,79.5611781,,33.41679507,Prosperity,MWD
P10-156,Min,269747.3507,3700349.436,98.36220771,76.51473549,95.66582367,94.11529623,,,Iredell,MWD
P10-157,Min,269766.848,3700361.517,54.71433032,35.77298656,32.47911386,58.07307614,70.39027398,71.13878668,Iredell,MWD
P10-158,Min,269714.4847,3700358.931,54.24505778,41.9508549,33.98243604,48.1616239,80.18623901,81.94622279,Cecil,WD
P10-159,Min,269733.9821,3700371.012,65.68097811,46.11032532,38.69189086,37.57575758,41.41219777,38.0979662,Cecil,WD
P10-160,Min,269753.4794,3700383.093,45.06338484,29.22015712,22.62402326,37.29320497,49.70197157,48.2260059,Cecil,WD
